Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
8100 BLOCK OF SE POWELL BLVD,21-31605,Society,Foster-Powell,2/4/21,505,Weapon Law Violations,Weapons Law Violations,45.49737207,-122.5792595,2/4/21,1
8200 BLOCK OF NE SANDY BLVD,21-248545,Society,Sumner,9/6/21,1916,Weapon Law Violations,Weapons Law Violations,45.55265736,-122.5782314,9/6/21,1
8300 BLOCK OF NE SANDY BLVD,21-238956,Society,Madison South,8/27/21,2037,Weapon Law Violations,Weapons Law Violations,45.55291197,-122.5773504,8/27/21,1
8400 BLOCK OF SE 7TH AVE,21-189345,Society,Sellwood-Moreland,7/11/21,1357,Weapon Law Violations,Weapons Law Violations,45.46183082,-122.6589387,7/11/21,1
8400 BLOCK OF SE HARNEY ST,21-260508,Society,Lents,9/18/21,828,Weapon Law Violations,Weapons Law Violations,45.46321539,-122.5761541,9/18/21,1
8500 BLOCK OF SE HARNEY ST,21-124361,Society,Lents,5/9/21,212,Weapon Law Violations,Weapons Law Violations,45.46319997,-122.5750346,5/9/21,1
8600 BLOCK OF N PORTSMOUTH AVE,21-194112,Society,Portsmouth,7/15/21,2020,Weapon Law Violations,Weapons Law Violations,45.58592118,-122.7215986,7/15/21,1
8700 BLOCK OF N COLUMBIA BLVD,21-123380,Society,St Johns,5/8/21,300,Weapon Law Violations,Weapons Law Violations,45.60421245,-122.7508574,5/8/21,1
8700 BLOCK OF N COLUMBIA BLVD,21-257195,Society,St Johns,9/15/21,0,Weapon Law Violations,Weapons Law Violations,45.60421245,-122.7508574,9/15/21,1
8700 BLOCK OF N DECATUR ST,21-221609,Society,Cathedral Park,8/11/21,39,Weapon Law Violations,Weapons Law Violations,45.58865634,-122.759646,8/11/21,1
8700 BLOCK OF NE KILLINGSWORTH ST,21-125941,Society,Sumner,5/10/21,1726,Weapon Law Violations,Weapons Law Violations,45.56267731,-122.5730367,5/10/21,1
8700 BLOCK OF NE SANDY BLVD,21-162388,Society,Sumner,6/15/21,1512,Weapon Law Violations,Weapons Law Violations,45.55472906,-122.5728947,6/15/21,1
8700 BLOCK OF NE SANDY BLVD,21-218153,Society,Sumner,8/7/21,1518,Weapon Law Violations,Weapons Law Violations,45.55472906,-122.5728947,8/7/21,1
8700 BLOCK OF SE HENDERSON ST,21-44519,Society,Lents,2/18/21,1304,Weapon Law Violations,Weapons Law Violations,45.46914372,-122.5731538,2/18/21,1
9100 BLOCK OF NW GERMANTOWN RD,21-128843,Society,Linnton,5/13/21,1233,Weapon Law Violations,Weapons Law Violations,45.58787837,-122.7755897,5/13/21,1
9100 BLOCK OF SE POWELL BLVD,21-122428,Society,Lents,5/7/21,531,Weapon Law Violations,Weapons Law Violations,45.49734028,-122.5690176,5/7/21,1
9200 BLOCK OF SE CLINTON ST,21-208634,Society,Powellhurst-Gilbert,7/29/21,2331,Weapon Law Violations,Weapons Law Violations,45.50258537,-122.5678353,7/29/21,1
9200 BLOCK OF SE HOLGATE BLVD,21-220856,Society,Lents,8/10/21,1032,Weapon Law Violations,Weapons Law Violations,45.48997074,-122.5681173,8/10/21,1
9200 BLOCK OF SE POWELL BLVD,21-25891,Society,Powellhurst-Gilbert,1/28/21,2132,Weapon Law Violations,Weapons Law Violations,45.4974218,-122.5678424,1/28/21,1
9200 BLOCK OF SE STARK ST,21-236542,Society,Montavilla,8/25/21,1320,Weapon Law Violations,Weapons Law Violations,45.5191106,-122.568562,8/25/21,1
9300 BLOCK OF NE GLISAN ST,21-118086,Society,Montavilla,5/2/21,1803,Weapon Law Violations,Weapons Law Violations,45.52637978,-122.5671094,5/2/21,1
9300 BLOCK OF SE MT SCOTT BLVD,21-97644,Society,Lents,4/12/21,314,Weapon Law Violations,Weapons Law Violations,45.46755764,-122.5673875,4/12/21,1
9400 BLOCK OF SE DIVISION ST,21-21530,Society,Powellhurst-Gilbert,1/24/21,0,Weapon Law Violations,Weapons Law Violations,45.50441158,-122.5669771,1/24/21,1
9600 BLOCK OF SE HOLGATE BLVD,21-117914,Society,Lents,5/2/21,1433,Weapon Law Violations,Weapons Law Violations,45.48988832,-122.5643111,5/2/21,1
9600 BLOCK OF SE STARK ST,21-14936,Society,Hazelwood,1/16/21,2157,Weapon Law Violations,Weapons Law Violations,45.51900004,-122.5640308,1/16/21,1
9600 BLOCK OF SW 35TH DR,21-235529,Society,Markham,8/23/21,1800,Weapon Law Violations,Weapons Law Violations,45.45589841,-122.7112773,8/24/21,1
9700 BLOCK OF NE SANDY BLVD,21-209251,Society,Parkrose,7/30/21,1320,Weapon Law Violations,Weapons Law Violations,45.55892834,-122.5625815,7/30/21,1
9800 BLOCK OF NE GLASS PLANT RD,21-90093,Society,,4/4/21,1815,Weapon Law Violations,Weapons Law Violations,45.56377148,-122.5603945,4/4/21,1
9900 BLOCK OF NE HALSEY ST,21-74614,Society,Hazelwood,3/20/21,1123,Weapon Law Violations,Weapons Law Violations,45.53348436,-122.560763,3/20/21,1
9900 BLOCK OF NE SANDY BLVD,21-151029,Society,Parkrose,6/4/21,620,Weapon Law Violations,Weapons Law Violations,45.55930124,-122.5602986,6/4/21,1
10100 BLOCK OF E BURNSIDE ST,21-34524,Society,Hazelwood,2/7/21,37,Weapon Law Violations,Weapons Law Violations,45.52252069,-122.5589483,2/7/21,1
10100 BLOCK OF SE MARKET ST,21-149902,Society,Hazelwood,6/3/21,118,Weapon Law Violations,Weapons Law Violations,45.51143482,-122.5595103,6/3/21,1
10200 BLOCK OF NE SANDY BLVD,21-42334,Society,Parkrose,2/16/21,745,Weapon Law Violations,Weapons Law Violations,45.5591144,-122.5572494,2/16/21,1
10300 BLOCK OF NE HALSEY ST,21-241053,Society,Parkrose Heights,8/30/21,152,Weapon Law Violations,Weapons Law Violations,45.53357241,-122.5559998,8/30/21,1
10400 BLOCK OF SE STARK ST,21-230754,Society,Mill Park,8/19/21,2339,Weapon Law Violations,Weapons Law Violations,45.51898838,-122.5561118,8/20/21,1
10500 BLOCK OF SE CHERRY BLOSSOM DR,21-138991,Society,Hazelwood,5/23/21,1547,Weapon Law Violations,Weapons Law Violations,45.51522889,-122.5549298,5/23/21,1
10500 BLOCK OF SE WASHINGTON ST,21-158569,Society,Mill Park,6/11/21,2039,Weapon Law Violations,Weapons Law Violations,45.51828244,-122.5547788,6/11/21,1
10700 BLOCK OF NE WYGANT ST,21-64906,Society,Parkrose,3/10/21,1814,Weapon Law Violations,Weapons Law Violations,45.55715003,-122.5521833,3/10/21,1
10900 BLOCK OF SE HOLGATE BLVD,21-185146,Society,Lents,7/7/21,1415,Weapon Law Violations,Weapons Law Violations,45.48972612,-122.5502393,7/7/21,1
11000 BLOCK OF SE FOSTER RD,21-107223,Society,Lents,4/21/21,1924,Weapon Law Violations,Weapons Law Violations,45.47595586,-122.5497893,4/21/21,1
11100 BLOCK OF NE HALSEY ST,21-71685,Society,Hazelwood,3/17/21,1212,Weapon Law Violations,Weapons Law Violations,45.53342131,-122.5478669,3/17/21,1
11100 BLOCK OF SE DIVISION ST,21-40725,Society,Powellhurst-Gilbert,2/14/21,8,Weapon Law Violations,Weapons Law Violations,45.50415793,-122.5486689,2/14/21,1
11100 BLOCK OF SE STARK ST,21-73645,Society,Hazelwood,3/19/21,310,Weapon Law Violations,Weapons Law Violations,45.51901986,-122.5486666,3/19/21,1
11200 BLOCK OF NE GLISAN ST,21-229447,Society,Hazelwood,8/18/21,1523,Weapon Law Violations,Weapons Law Violations,45.52632314,-122.5471307,8/18/21,1
11500 BLOCK OF NE SACRAMENTO ST,21-72094,Society,Parkrose Heights,3/17/21,1940,Weapon Law Violations,Weapons Law Violations,45.53952997,-122.5440816,3/17/21,1
11500 BLOCK OF NE YACHT HARBOR DR,21-20750,Society,Hayden Island,1/23/21,203,Weapon Law Violations,Weapons Law Violations,45.60516467,-122.6603825,1/23/21,1
11500 BLOCK OF SE HAROLD ST,21-197075,Society,Powellhurst-Gilbert,7/18/21,2151,Weapon Law Violations,Weapons Law Violations,45.48295262,-122.5442148,7/18/21,1
11500 BLOCK OF SE SHERMAN CT,21-142096,Society,Mill Park,5/26/21,1750,Weapon Law Violations,Weapons Law Violations,45.50561538,-122.5441682,5/26/21,1
11600 BLOCK OF NE FARGO ST,21-59663,Society,Parkrose Heights,3/5/21,1627,Weapon Law Violations,Weapons Law Violations,45.54537332,-122.5430231,3/5/21,1
11800 BLOCK OF NE SANDY BLVD,21-128507,Society,Parkrose,5/13/21,423,Weapon Law Violations,Weapons Law Violations,45.55758053,-122.5406352,5/13/21,1
11900 BLOCK OF SE ASH ST,21-224588,Society,Hazelwood,8/13/21,2027,Weapon Law Violations,Weapons Law Violations,45.52103809,-122.5399346,8/13/21,1
12000 BLOCK OF N JANTZEN BEACH AVE,21-251472,Society,Hayden Island,9/9/21,1129,Weapon Law Violations,Weapons Law Violations,45.61072791,-122.6748434,9/9/21,1
12000 BLOCK OF SE ASH ST,21-145739,Society,Hazelwood,5/30/21,21,Weapon Law Violations,Weapons Law Violations,45.52104277,-122.5390527,5/30/21,1
12100 BLOCK OF E BURNSIDE ST,21-67652,Society,Hazelwood,3/13/21,1417,Weapon Law Violations,Weapons Law Violations,45.52263688,-122.5381186,3/13/21,1
